d1,d2,lower_bound,upper_bound,midpoint,swap_zone_width,failure_reason
73,66,,,,,no_o1_crossover
99,51,,,,,no_o1_crossover
28,0,6.6,10.0,8.3,3.4000000000000004,
25,84,,,,,no_o1_crossover
19,60,,,,,no_o2_crossover
14,94,,,,,no_o1_crossover
83,63,0.223,0.671,0.447,0.44800000000000006,
73,6,,,,,no_o2_crossover
50,43,1.802,2.261,2.0315000000000003,0.4590000000000001,
76,83,,,,,no_o1_crossover
49,63,,,,,no_o1_crossover
59,45,0.348,0.676,0.512,0.32800000000000007,
95,14,,,,,no_o1_crossover
31,41,0.264,0.505,0.3845,0.241,
2,98,,,,,no_o2_crossover
37,55,,,,,no_o1_crossover
3,68,8.071,10.0,9.035499999999999,1.9290000000000003,
61,85,,,,,no_o1_crossover
73,13,,,,,no_o2_crossover
97,66,,,,,no_o2_crossover
25,67,,,,,no_o1_crossover
27,61,,,,,no_o2_crossover
18,74,0.142,0.652,0.397,0.51,
55,91,,,,,no_o2_crossover
12,68,,,,,no_o1_crossover
1,70,1.784,5.299,3.5415,3.5150000000000006,
97,76,,,,,no_o1_crossover
95,82,,,,,no_o1_crossover
47,78,,,,,no_o1_crossover
67,99,0.298,0.49,0.394,0.192,
42,48,,,,,no_o1_crossover
39,56,0.323,0.656,0.48950000000000005,0.333,
54,75,,,,,no_o1_crossover
16,66,,,,,no_o1_crossover
72,94,5.747,10.0,7.8735,4.253,
50,18,,,,,no_o1_crossover
41,62,,,,,no_o2_crossover
12,67,,,,,no_o1_crossover
62,56,1.098,3.404,2.251,2.306,
62,18,,,,,no_o1_crossover
37,31,1.412,6.93,4.170999999999999,5.518,
39,79,,,,,no_o2_crossover
74,0,,,,,no_o1_crossover
39,1,2.094,10.0,6.047,7.906000000000001,
32,70,1.991,5.755,3.873,3.764,
16,71,5.803,10.0,7.9015,4.197,
87,53,,,,,no_o1_crossover
88,21,,,,,no_o1_crossover
67,84,8.749,10.0,9.374500000000001,1.2509999999999994,
16,67,,,,,no_o2_crossover
26,84,,,,,no_o1_crossover
19,97,9.251,10.0,9.625499999999999,0.7490000000000006,
15,35,,,,,no_o2_crossover
48,65,,,,,no_o1_crossover
45,90,,,,,no_o2_crossover
58,12,0.443,0.531,0.487,0.08800000000000002,
91,64,0.404,0.562,0.48300000000000004,0.15800000000000003,
20,4,0.444,0.667,0.5555,0.22300000000000003,
99,25,,,,,no_o1_crossover
91,76,,,,,no_o2_crossover
40,70,1.443,3.796,2.6195,2.3529999999999998,
40,25,0.461,0.481,0.471,0.019999999999999962,
68,0,,,,,no_o2_crossover
86,56,0.28,0.499,0.3895,0.21899999999999997,
91,88,0.364,0.558,0.461,0.19400000000000006,
14,82,9.804,10.0,9.902000000000001,0.19599999999999973,
11,50,0.321,0.531,0.42600000000000005,0.21000000000000002,
53,66,,,,,no_o2_crossover
92,32,,,,,no_o1_crossover
8,52,0.407,0.535,0.471,0.12800000000000006,
86,95,0.255,0.512,0.3835,0.257,
79,41,,,,,no_o2_crossover
71,7,0.256,0.618,0.437,0.362,
72,47,6.383,10.0,8.1915,3.617,
49,47,,,,,no_o2_crossover
67,74,0.188,0.641,0.4145,0.453,
26,7,0.458,0.712,0.585,0.25399999999999995,
81,73,,,,,no_o2_crossover
31,63,0.228,0.603,0.4155,0.375,
29,68,,,,,no_o1_crossover
99,11,,,,,no_o1_crossover
0,33,0.41,0.432,0.421,0.02200000000000002,
52,66,,,,,no_o1_crossover
37,45,0.454,0.478,0.46599999999999997,0.023999999999999966,
24,43,6.023,10.0,8.0115,3.9770000000000003,
24,36,,,,,no_o2_crossover
83,37,,,,,no_o2_crossover
88,36,,,,,no_o1_crossover
0,57,,,,,no_o2_crossover
76,22,0.279,0.503,0.391,0.22399999999999998,
83,5,,,,,no_o1_crossover
40,18,3.787,10.0,6.8934999999999995,6.213,
57,89,,,,,no_o1_crossover
71,61,0.361,0.57,0.46549999999999997,0.20899999999999996,
75,29,,,,,cannot_determine_o1_dominance
7,55,,,,,no_o1_crossover
87,10,,,,,no_o2_crossover
92,21,,,,,no_o1_crossover
53,14,,,,,no_o2_crossover
85,63,0.283,0.511,0.397,0.22800000000000004,
48,86,,,,,no_o1_crossover
40,67,0.684,0.812,0.748,0.128,
67,93,,,,,no_o2_crossover
70,71,,,,,no_o2_crossover
34,82,0.705,0.752,0.7284999999999999,0.04700000000000004,
20,67,,,,,no_o1_crossover
38,12,,,,,no_o2_crossover
54,98,,,,,no_o1_crossover
23,11,,,,,no_o1_crossover
70,34,,,,,no_o2_crossover
33,1,,,,,no_o1_crossover
14,5,9.532,10.0,9.766,0.46799999999999997,
77,31,0.604,0.752,0.6779999999999999,0.14800000000000002,
70,70,,,,,no_o1_crossover
98,89,0.725,0.829,0.7769999999999999,0.10399999999999998,
21,89,,,,,no_o2_crossover
96,68,,,,,no_o1_crossover
96,62,0.294,0.445,0.3695,0.15100000000000002,
40,65,,,,,no_o2_crossover
69,78,,,,,no_o1_crossover
12,10,0.307,0.609,0.45799999999999996,0.302,
88,40,,,,,no_o1_crossover
80,5,,,,,no_o1_crossover
20,66,,,,,no_o1_crossover
77,62,0.099,0.672,0.3855,0.5730000000000001,
84,2,3.961,10.0,6.9805,6.039,
35,44,,,,,no_o1_crossover
35,90,,,,,no_o2_crossover
89,92,,,,,no_o2_crossover
0,78,,,,,no_o2_crossover
86,27,0.417,0.523,0.47,0.10600000000000004,
23,18,,,,,no_o1_crossover
39,29,0.209,0.719,0.46399999999999997,0.51,
80,88,,,,,no_o1_crossover
4,16,,,,,no_o1_crossover
58,92,,,,,no_o2_crossover
9,52,,,,,no_o1_crossover
22,48,,,,,no_o1_crossover
93,76,,,,,no_o2_crossover
38,82,7.737,10.0,8.868500000000001,2.263,
47,88,0.448,0.52,0.484,0.07200000000000001,
31,75,0.219,0.513,0.366,0.29400000000000004,
78,97,,,,,no_o2_crossover
86,62,0.228,0.539,0.3835,0.31100000000000005,
95,60,,,,,no_o1_crossover
94,78,,,,,no_o1_crossover
56,6,,,,,no_o1_crossover
36,11,,,,,no_o1_crossover
40,24,0.224,0.643,0.4335,0.41900000000000004,
4,97,,,,,no_o1_crossover
30,85,0.57,0.618,0.594,0.04800000000000004,
86,58,,,,,no_o2_crossover
80,66,,,,,no_o1_crossover
70,84,,,,,no_o2_crossover
68,37,,,,,no_o2_crossover
62,93,,,,,no_o1_crossover
60,98,,,,,no_o2_crossover
98,88,,,,,no_o2_crossover
48,14,,,,,no_o1_crossover
53,62,0.205,0.566,0.38549999999999995,0.361,
54,74,,,,,no_o2_crossover
79,17,,,,,no_o1_crossover
55,17,,,,,no_o1_crossover
26,6,,,,,no_o1_crossover
54,52,,,,,no_o1_crossover
6,17,,,,,cannot_determine_o1_dominance
22,15,,,,,no_o1_crossover
28,23,0.251,0.591,0.421,0.33999999999999997,
8,27,0.407,0.548,0.47750000000000004,0.14100000000000007,
84,17,,,,,no_o2_crossover
74,58,,,,,no_o1_crossover
31,49,0.306,0.589,0.4475,0.283,
63,48,,,,,no_o1_crossover
2,35,0.439,0.524,0.48150000000000004,0.08500000000000002,
14,52,,,,,no_o2_crossover
91,89,,,,,no_o2_crossover
17,25,0.419,0.55,0.48450000000000004,0.13100000000000006,
75,51,,,,,no_o1_crossover
46,62,,,,,no_o2_crossover
96,2,,,,,no_o1_crossover
29,57,7.524,10.0,8.762,2.476,
7,93,,,,,no_o1_crossover
16,23,0.306,0.424,0.365,0.118,
11,23,0.266,0.502,0.384,0.236,
78,32,,,,,no_o2_crossover
95,56,1.108,2.777,1.9425000000000001,1.669,
24,84,,,,,no_o1_crossover
76,24,0.189,0.664,0.4265,0.47500000000000003,
18,96,0.363,0.598,0.4805,0.235,
5,68,1.126,4.151,2.6384999999999996,3.025,
54,19,5.619,10.0,7.8095,4.381,
69,71,4.349,10.0,7.1745,5.651,
83,11,,,,,no_o2_crossover
63,47,,,,,no_o1_crossover
17,28,8.875,10.0,9.4375,1.125,
14,32,7.554,10.0,8.777000000000001,2.4459999999999997,
30,40,5.321,10.0,7.6605,4.679,
29,16,,,,,no_o1_crossover
6,44,0.742,0.891,0.8165,0.14900000000000002,
85,92,0.352,0.441,0.39649999999999996,0.08900000000000002,
64,79,,,,,no_o1_crossover
93,96,0.367,0.57,0.46849999999999997,0.20299999999999996,
23,39,,,,,no_o1_crossover
93,72,0.506,0.596,0.5509999999999999,0.08999999999999997,
65,58,,,,,no_o1_crossover
58,16,,,,,no_o2_crossover
76,51,,,,,no_o2_crossover
36,89,,,,,no_o1_crossover
64,11,,,,,no_o1_crossover
64,83,,,,,no_o1_crossover
77,48,0.358,0.535,0.4465,0.17700000000000005,
83,8,,,,,no_o2_crossover
76,25,,,,,no_o2_crossover
65,53,,,,,no_o1_crossover
27,35,,,,,no_o1_crossover
46,83,,,,,no_o1_crossover
12,89,,,,,no_o1_crossover
52,7,0.313,0.617,0.46499999999999997,0.304,
85,11,,,,,no_o2_crossover
90,52,,,,,no_o1_crossover
38,80,0.472,0.549,0.5105,0.07700000000000007,
64,49,,,,,no_o2_crossover
74,59,,,,,no_o1_crossover
39,22,0.327,0.515,0.42100000000000004,0.188,
28,12,,,,,no_o2_crossover
86,75,0.196,0.559,0.37750000000000006,0.36300000000000004,
63,18,,,,,no_o1_crossover
16,20,0.346,0.508,0.427,0.16200000000000003,
29,37,,,,,no_o1_crossover
58,34,2.016,8.921,5.4685,6.904999999999999,
76,35,,,,,no_o1_crossover
25,27,,,,,no_o1_crossover
80,75,,,,,no_o2_crossover
72,87,4.215,10.0,7.1075,5.785,
94,86,,,,,no_o1_crossover
8,84,,,,,no_o2_crossover
72,49,3.134,10.0,6.567,6.866,
66,27,0.404,0.409,0.4065,0.004999999999999949,
58,67,,,,,no_o1_crossover
66,72,0.534,0.606,0.5700000000000001,0.07199999999999995,
42,19,0.602,0.633,0.6174999999999999,0.031000000000000028,
34,26,0.325,0.593,0.45899999999999996,0.26799999999999996,
28,47,5.681,10.0,7.8405000000000005,4.319,
24,8,,,,,no_o1_crossover
1,62,0.222,0.528,0.375,0.30600000000000005,
76,65,,,,,no_o2_crossover
81,18,,,,,no_o2_crossover
64,40,,,,,no_o1_crossover
84,85,,,,,no_o2_crossover
4,52,,,,,no_o1_crossover
16,28,,,,,no_o1_crossover
56,41,6.906,10.0,8.453,3.0940000000000003,
24,35,,,,,no_o1_crossover
51,13,0.479,0.615,0.5469999999999999,0.136,
37,64,,,,,no_o2_crossover
39,55,1.458,10.0,5.729,8.542,
91,29,0.111,0.637,0.374,0.526,
72,55,6.508,10.0,8.254,3.492,
8,65,0.483,0.495,0.489,0.01200000000000001,
66,46,0.351,0.497,0.424,0.14600000000000002,
52,72,0.604,0.661,0.6325000000000001,0.05700000000000005,
41,2,,,,,no_o1_crossover
47,92,0.384,0.543,0.4635,0.15900000000000003,
73,49,0.345,0.524,0.4345,0.17900000000000005,
83,74,0.16,0.623,0.3915,0.46299999999999997,
67,81,,,,,no_o2_crossover
34,60,0.449,0.641,0.545,0.192,
66,52,,,,,no_o2_crossover
92,86,,,,,no_o1_crossover
62,6,,,,,no_o1_crossover
68,20,0.385,0.579,0.482,0.19399999999999995,
85,47,,,,,no_o2_crossover
14,33,,,,,no_o2_crossover
44,47,,,,,no_o2_crossover
50,93,,,,,no_o1_crossover
42,77,,,,,no_o1_crossover
18,56,0.281,0.504,0.3925,0.22299999999999998,
11,63,0.318,0.566,0.44199999999999995,0.24799999999999994,
