LIST_LEN,N_DIGITS,D_MODEL,N_HEAD,N_LAYERS,USE_LN,USE_BIAS,FREEZE_WV,FREEZE_WO,WEIGHT_DECAY,run_idx,val_acc,steps_trained,train_time_sec,params_total,params_trainable,val_examples,batch_size,device
4,100,64,1,9,False,False,True,True,0.01,2,0.952392578125,50000,1161.451236963272,163494,87360,8192,1024,cuda
4,100,64,1,10,False,False,True,True,0.01,0,0.87274169921875,50000,1261.4828433990479,180134,95552,8192,1024,cuda
4,100,64,1,10,False,False,True,True,0.01,1,0.817596435546875,50000,1260.480987071991,180134,95552,8192,1024,cuda
4,100,64,1,10,False,False,True,True,0.01,2,0.917694091796875,50000,1260.0111908912659,180134,95552,8192,1024,cuda
5,100,64,1,1,False,False,True,True,0.01,0,0.0107177734375,50000,286.79903197288513,30502,21952,8192,1024,cuda
5,100,64,1,1,False,False,True,True,0.01,1,0.0102783203125,50000,287.12152218818665,30502,21952,8192,1024,cuda
5,100,64,1,1,False,False,True,True,0.01,2,0.0100830078125,50000,286.2598066329956,30502,21952,8192,1024,cuda
5,100,64,1,2,False,False,True,True,0.01,0,0.2173095703125,50000,403.9864158630371,47142,30144,8192,1024,cuda
5,100,64,1,2,False,False,True,True,0.01,1,0.219091796875,50000,402.8331434726715,47142,30144,8192,1024,cuda
5,100,64,1,2,False,False,True,True,0.01,2,0.2194091796875,50000,403.8712193965912,47142,30144,8192,1024,cuda
5,100,64,1,3,False,False,True,True,0.01,0,0.566845703125,50000,517.9458808898926,63782,38336,8192,1024,cuda
5,100,64,1,3,False,False,True,True,0.01,1,0.3853759765625,50000,519.4187109470367,63782,38336,8192,1024,cuda
5,100,64,1,3,False,False,True,True,0.01,2,0.3852783203125,50000,518.6258318424225,63782,38336,8192,1024,cuda
5,100,64,1,4,False,False,True,True,0.01,0,0.9671630859375,50000,632.8033719062805,80422,46528,8192,1024,cuda
5,100,64,1,4,False,False,True,True,0.01,1,0.886181640625,50000,633.5402038097382,80422,46528,8192,1024,cuda
5,100,64,1,4,False,False,True,True,0.01,2,0.91572265625,50000,633.9952073097229,80422,46528,8192,1024,cuda
5,100,64,1,5,False,False,True,True,0.01,0,0.9329833984375,50000,750.5184578895569,97062,54720,8192,1024,cuda
5,100,64,1,5,False,False,True,True,0.01,1,0.9779052734375,50000,750.5763804912567,97062,54720,8192,1024,cuda
5,100,64,1,5,False,False,True,True,0.01,2,0.9353271484375,50000,750.2447762489319,97062,54720,8192,1024,cuda
5,100,64,1,6,False,False,True,True,0.01,0,0.9534912109375,50000,869.536937713623,113702,62912,8192,1024,cuda
5,100,64,1,6,False,False,True,True,0.01,1,0.9657470703125,50000,869.7818992137909,113702,62912,8192,1024,cuda
5,100,64,1,6,False,False,True,True,0.01,2,0.9631591796875,50000,869.558447599411,113702,62912,8192,1024,cuda
5,100,64,1,7,False,False,True,True,0.01,0,0.9704833984375,50000,992.8092224597931,130342,71104,8192,1024,cuda
5,100,64,1,7,False,False,True,True,0.01,1,0.9767578125,50000,1000.1231479644775,130342,71104,8192,1024,cuda
5,100,64,1,7,False,False,True,True,0.01,2,0.9772705078125,50000,1002.1178812980652,130342,71104,8192,1024,cuda
5,100,64,1,8,False,False,True,True,0.01,0,0.9697265625,50000,1133.8397617340088,146982,79296,8192,1024,cuda
5,100,64,1,8,False,False,True,True,0.01,1,0.97392578125,50000,1132.323361158371,146982,79296,8192,1024,cuda
5,100,64,1,8,False,False,True,True,0.01,2,0.969580078125,50000,1131.0335764884949,146982,79296,8192,1024,cuda
5,100,64,1,9,False,False,True,True,0.01,0,0.947021484375,50000,1247.2474718093872,163622,87488,8192,1024,cuda
5,100,64,1,9,False,False,True,True,0.01,1,0.92666015625,50000,1246.7403302192688,163622,87488,8192,1024,cuda
5,100,64,1,9,False,False,True,True,0.01,2,0.945654296875,50000,1246.3738961219788,163622,87488,8192,1024,cuda
5,100,64,1,10,False,False,True,True,0.01,0,0.9101806640625,50000,1350.5469601154327,180262,95680,8192,1024,cuda
5,100,64,1,10,False,False,True,True,0.01,1,0.89501953125,50000,1352.2173612117767,180262,95680,8192,1024,cuda
5,100,64,1,10,False,False,True,True,0.01,2,0.92490234375,50000,1352.1631243228912,180262,95680,8192,1024,cuda
6,100,64,1,1,False,False,True,True,0.01,0,0.010213216145833334,50000,329.2236521244049,30630,22080,8192,1024,cuda
6,100,64,1,1,False,False,True,True,0.01,1,0.009663899739583334,50000,328.22753834724426,30630,22080,8192,1024,cuda
6,100,64,1,1,False,False,True,True,0.01,2,0.009602864583333334,50000,328.2670509815216,30630,22080,8192,1024,cuda
6,100,64,1,2,False,False,True,True,0.01,0,0.18776448567708334,50000,452.98056507110596,47270,30272,8192,1024,cuda
6,100,64,1,2,False,False,True,True,0.01,1,0.19331868489583334,50000,452.6982207298279,47270,30272,8192,1024,cuda
6,100,64,1,2,False,False,True,True,0.01,2,0.19073486328125,50000,452.6543264389038,47270,30272,8192,1024,cuda
6,100,64,1,3,False,False,True,True,0.01,0,0.4601236979166667,50000,576.0074918270111,63910,38464,8192,1024,cuda
6,100,64,1,3,False,False,True,True,0.01,1,0.4393107096354167,50000,575.2704198360443,63910,38464,8192,1024,cuda
6,100,64,1,3,False,False,True,True,0.01,2,0.4545694986979167,50000,576.4175298213959,63910,38464,8192,1024,cuda
6,100,64,1,4,False,False,True,True,0.01,0,0.6836751302083334,50000,698.2872140407562,80550,46656,8192,1024,cuda
6,100,64,1,4,False,False,True,True,0.01,1,0.821533203125,50000,697.4098100662231,80550,46656,8192,1024,cuda
6,100,64,1,4,False,False,True,True,0.01,2,0.7672322591145834,50000,697.0027134418488,80550,46656,8192,1024,cuda
6,100,64,1,5,False,False,True,True,0.01,0,0.9398600260416666,50000,820.2781593799591,97190,54848,8192,1024,cuda
6,100,64,1,5,False,False,True,True,0.01,1,0.94891357421875,50000,821.3147614002228,97190,54848,8192,1024,cuda
6,100,64,1,5,False,False,True,True,0.01,2,0.94354248046875,50000,820.3166856765747,97190,54848,8192,1024,cuda
6,100,64,1,6,False,False,True,True,0.01,0,0.90765380859375,50000,948.3586318492889,113830,63040,8192,1024,cuda
6,100,64,1,6,False,False,True,True,0.01,1,0.9347330729166666,50000,948.7192966938019,113830,63040,8192,1024,cuda
6,100,64,1,6,False,False,True,True,0.01,2,0.9202067057291666,50000,950.6815867424011,113830,63040,8192,1024,cuda
6,100,64,1,7,False,False,True,True,0.01,0,0.9240315755208334,50000,1080.1346504688263,130470,71232,8192,1024,cuda
