d1,d2,feat_orig,o1_crossovers,o2_crossovers,n_o1_xover,n_o2_xover
12,67,0.0,[],[],0,0
62,56,1.8396542072296143,[0.347],"[1.098, 3.404]",1,2
62,18,0.0,[],[],0,0
37,31,1.6738979816436768,[1.355],"[1.412, 6.93]",1,2
39,79,0.8597102165222168,[0.306],"[0.562, 6.686]",1,2
74,0,0.0,[],[],0,0
39,1,0.7571800351142883,[1.545],[2.094],1,1
32,70,3.2552826404571533,[1.711],"[1.991, 5.755]",1,2
16,71,2.6908326148986816,[1.416],"[1.272, 5.803]",1,2
87,53,0.0,[],[],0,0
88,21,0.0,[],[],0,0
67,84,1.6780823469161987,[1.626],"[1.296, 8.749]",1,2
16,67,2.1492857933044434,[0.472],"[0.902, 5.013]",1,2
26,84,0.0,[],[],0,0
19,97,0.8772240877151489,[1.509],"[1.434, 9.251]",1,2
15,35,2.27618145942688,[0.411],"[0.551, 4.451]",1,2
48,65,0.0,[],[],0,0
45,90,0.45633095502853394,[4.842],[0.532],1,1
58,12,1.7168424129486084,[0.531],"[0.443, 4.921]",1,2
91,64,4.1342387199401855,[0.562],"[0.404, 2.997]",1,2
20,4,2.4754512310028076,[0.667],"[0.444, 2.63]",1,2
99,25,0.0,[],[],0,0
91,76,4.164710998535156,[0.587],"[0.673, 3.197]",1,2
40,70,5.921778678894043,[1.436],"[1.443, 3.796]",1,2
40,25,3.446986675262451,[0.481],"[0.461, 3.195]",1,2
68,0,4.506326675415039,[0.382],"[0.854, 3.437]",1,2
86,56,5.623835563659668,[0.499],"[0.28, 1.941]",1,2
91,88,3.83974552154541,[0.558],"[0.364, 3.151]",1,2
14,82,1.2776460647583008,[1.899],"[1.124, 9.804]",1,2
11,50,4.223713397979736,[0.531],"[0.321, 2.407]",1,2
53,66,3.8718976974487305,[0.657],"[0.78, 3.413]",1,2
92,32,0.0,[],[],0,0
8,52,3.0575242042541504,[0.535],"[0.407, 3.501]",1,2
86,95,6.078934669494629,[0.512],"[0.255, 1.813]",1,2
79,41,1.3125170469284058,[0.339],"[0.341, 5.255]",1,2
71,7,6.871939659118652,[0.618],"[0.256, 1.801]",1,2
72,47,1.9533635377883911,[2.163],"[1.641, 6.383]",1,2
49,47,0.5061666369438171,[5.765],[3.422],1,1
67,74,4.740362644195557,[0.641],"[0.188, 1.96]",1,2
26,7,3.4515817165374756,[0.712],"[0.458, 1.864]",1,2
81,73,1.0657050609588623,[1.713],[1.704],1,1
31,63,3.4915270805358887,[0.603],"[0.228, 2.979]",1,2
29,68,0.0,[],[],0,0
99,11,0.0,[],[],0,0
0,33,3.11305570602417,[0.432],"[0.41, 3.4]",1,2
52,66,0.0,[],[],0,0
37,45,2.282763719558716,[0.478],"[0.454, 3.957]",1,2
24,43,1.0295888185501099,[2.37],"[1.816, 6.023]",1,2
24,36,0.4313715100288391,[5.582],[3.264],1,1
83,37,0.5236108303070068,[2.392],[1.504],1,1
88,36,0.6705062389373779,[],"[0.652, 8.973]",0,2
0,57,4.072457790374756,[0.311],"[0.406, 2.344]",1,2
76,22,3.3925819396972656,[0.503],"[0.279, 2.635]",1,2
83,5,0.0,[],[],0,0
40,18,4.415672302246094,[1.221],"[1.071, 3.787]",1,2
57,89,0.0,[],[],0,0
71,61,5.101284980773926,[0.57],"[0.361, 2.312]",1,2
75,29,2.5996434688568115,[3.06],"[0.738, 3.028]",1,2
7,55,0.0,[],[],0,0
87,10,2.995087146759033,[0.378],"[0.442, 1.807]",1,2
92,21,0.0,[],[],0,0
53,14,3.7588107585906982,[0.652],"[0.71, 3.258]",1,2
85,63,1.5902953147888184,[0.511],"[0.283, 4.726]",1,2
48,86,0.0,[],[],0,0
40,67,3.8177733421325684,[0.812],"[0.684, 3.774]",1,2
67,93,1.551854133605957,[2.09],[0.976],1,1
70,71,11.02031421661377,[0.698],"[0.937, 2.107]",1,2
34,82,4.464505195617676,[0.752],"[0.705, 2.963]",1,2
20,67,0.0,[],[],0,0
