d1,d2,lower_bound,upper_bound,midpoint,swap_zone_width,failure_reason
54,75,,,,,no_o1_crossover
16,66,,,,,no_o1_crossover
72,94,1.724,10.0,5.862,8.276,
50,18,,,,,no_o1_crossover
41,62,,,,,no_o2_crossover_in_bounds
12,67,,,,,no_o1_crossover
62,56,0.347,10.0,5.1735,9.653,
62,18,,,,,no_o1_crossover
37,31,1.412,6.93,4.170999999999999,5.518,
39,79,,,,,no_o2_crossover_in_bounds
74,0,,,,,no_o1_crossover
39,1,2.094,10.0,6.047,7.906000000000001,
32,70,1.711,10.0,5.8555,8.289,
16,71,1.416,10.0,5.708,8.584,
87,53,,,,,no_o1_crossover
88,21,,,,,no_o1_crossover
67,84,1.626,8.749,5.1875,7.123000000000001,
16,67,,,,,no_o2_crossover_in_bounds
26,84,,,,,no_o1_crossover
19,97,1.509,9.251,5.38,7.741999999999999,
15,35,,,,,no_o2_crossover_in_bounds
48,65,,,,,no_o1_crossover
45,90,,,,,no_o2_crossover_in_bounds
58,12,0.0,0.443,0.2215,0.443,
91,64,0.0,0.404,0.202,0.404,
20,4,0.0,0.444,0.222,0.444,
99,25,,,,,no_o1_crossover
91,76,,,,,no_o2_crossover_in_bounds
40,70,1.436,10.0,5.718,8.564,
40,25,0.0,0.462,0.231,0.462,
68,0,,,,,no_o2_crossover_in_bounds
86,56,0.0,0.28,0.14,0.28,
91,88,0.0,0.363,0.1815,0.363,
14,82,1.899,9.804,5.8515,7.905,
11,50,0.0,0.321,0.1605,0.321,
53,66,,,,,no_o2_crossover_in_bounds
92,32,,,,,no_o1_crossover
8,52,0.0,0.408,0.204,0.408,
86,95,0.0,0.255,0.1275,0.255,
79,41,,,,,no_o2_crossover_in_bounds
71,7,0.0,0.256,0.128,0.256,
72,47,2.163,10.0,6.0815,7.837,
49,47,,,,,no_o2_crossover_in_bounds
67,74,0.0,0.188,0.094,0.188,
26,7,0.0,0.458,0.229,0.458,
81,73,,,,,no_o2_crossover_in_bounds
31,63,0.0,0.228,0.114,0.228,
29,68,,,,,no_o1_crossover
99,11,,,,,no_o1_crossover
0,33,0.0,0.41,0.205,0.41,
52,66,,,,,no_o1_crossover
37,45,0.0,0.454,0.227,0.454,
24,43,2.37,10.0,6.1850000000000005,7.63,
24,36,,,,,no_o2_crossover_in_bounds
83,37,,,,,no_o2_crossover_in_bounds
88,36,,,,,no_o1_crossover
0,57,,,,,no_o2_crossover_in_bounds
76,22,0.0,0.279,0.1395,0.279,
83,5,,,,,no_o1_crossover
40,18,1.221,10.0,5.6105,8.779,
57,89,,,,,no_o1_crossover
71,61,0.0,0.361,0.1805,0.361,
75,29,0.0,0.738,0.369,0.738,
7,55,,,,,no_o1_crossover
87,10,,,,,no_o2_crossover_in_bounds
92,21,,,,,no_o1_crossover
53,14,,,,,no_o2_crossover_in_bounds
85,63,0.0,0.283,0.1415,0.283,
48,86,,,,,no_o1_crossover
40,67,0.0,0.685,0.3425,0.685,
67,93,,,,,no_o2_crossover_in_bounds
70,71,,,,,no_o2_crossover_in_bounds
34,82,0.0,0.704,0.352,0.704,
20,67,,,,,no_o1_crossover
38,12,,,,,no_o2_crossover_in_bounds
54,98,,,,,no_o1_crossover
23,11,,,,,no_o1_crossover
70,34,,,,,no_o2_crossover_in_bounds
33,1,,,,,no_o1_crossover
14,5,1.899,9.532,5.7155000000000005,7.633,
77,31,0.0,0.604,0.302,0.604,
70,70,,,,,no_o1_crossover
98,89,0.0,0.725,0.3625,0.725,
21,89,,,,,no_o2_crossover_in_bounds
96,68,,,,,no_o1_crossover
96,62,0.0,0.294,0.147,0.294,
40,65,,,,,no_o2_crossover_in_bounds
69,78,,,,,no_o1_crossover
12,10,0.0,0.307,0.1535,0.307,
88,40,,,,,no_o1_crossover
80,5,,,,,no_o1_crossover
20,66,,,,,no_o1_crossover
77,62,0.0,0.099,0.0495,0.099,
84,2,1.245,10.0,5.6225000000000005,8.754999999999999,
35,44,,,,,no_o1_crossover
35,90,,,,,no_o2_crossover_in_bounds
89,92,,,,,no_o2_crossover_in_bounds
0,78,,,,,no_o2_crossover_in_bounds
86,27,0.0,0.417,0.2085,0.417,
23,18,,,,,no_o1_crossover
39,29,0.0,0.209,0.1045,0.209,
80,88,,,,,no_o1_crossover
4,16,,,,,no_o1_crossover
58,92,,,,,no_o2_crossover_in_bounds
9,52,,,,,no_o1_crossover
22,48,,,,,no_o1_crossover
93,76,,,,,no_o2_crossover_in_bounds
38,82,1.63,7.737,4.6835,6.107,
47,88,0.0,0.447,0.2235,0.447,
31,75,0.0,0.219,0.1095,0.219,
78,97,,,,,no_o2_crossover_in_bounds
86,62,0.0,0.228,0.114,0.228,
95,60,,,,,no_o1_crossover
94,78,,,,,no_o1_crossover
56,6,,,,,no_o1_crossover
36,11,,,,,no_o1_crossover
40,24,0.0,0.224,0.112,0.224,
4,97,,,,,no_o1_crossover
30,85,0.0,0.57,0.285,0.57,
86,58,,,,,no_o2_crossover_in_bounds
80,66,,,,,no_o1_crossover
70,84,,,,,no_o2_crossover_in_bounds
68,37,,,,,no_o2_crossover_in_bounds
62,93,,,,,no_o1_crossover
60,98,,,,,no_o2_crossover_in_bounds
98,88,,,,,no_o2_crossover_in_bounds
48,14,,,,,no_o1_crossover
53,62,0.0,0.204,0.102,0.204,
54,74,,,,,no_o2_crossover_in_bounds
79,17,,,,,no_o1_crossover
55,17,,,,,no_o1_crossover
26,6,,,,,no_o1_crossover
54,52,,,,,no_o1_crossover
6,17,,,,,no_o2_crossover_in_bounds
22,15,,,,,no_o1_crossover
28,23,0.0,0.251,0.1255,0.251,
8,27,0.0,0.407,0.2035,0.407,
84,17,,,,,no_o2_crossover_in_bounds
74,58,,,,,no_o1_crossover
31,49,0.0,0.306,0.153,0.306,
63,48,,,,,no_o1_crossover
2,35,0.0,0.439,0.2195,0.439,
14,52,,,,,no_o2_crossover_in_bounds
91,89,,,,,no_o2_crossover_in_bounds
17,25,0.0,0.419,0.2095,0.419,
75,51,,,,,no_o1_crossover
46,62,,,,,no_o2_crossover_in_bounds
96,2,,,,,no_o1_crossover
29,57,2.559,7.524,5.0415,4.965,
7,93,,,,,no_o1_crossover
16,23,0.0,0.306,0.153,0.306,
11,23,0.0,0.265,0.1325,0.265,
78,32,,,,,no_o2_crossover_in_bounds
95,56,0.588,10.0,5.294,9.412,
24,84,,,,,no_o1_crossover
76,24,0.0,0.189,0.0945,0.189,
18,96,0.0,0.363,0.1815,0.363,
5,68,0.986,10.0,5.493,9.014,
54,19,2.026,10.0,6.013,7.974,
69,71,1.28,10.0,5.64,8.72,
83,11,,,,,no_o2_crossover_in_bounds
63,47,,,,,no_o1_crossover
17,28,3.131,8.875,6.003,5.744,
14,32,1.994,7.554,4.774,5.5600000000000005,
30,40,1.751,10.0,5.8755,8.249,
29,16,,,,,no_o1_crossover
6,44,0.0,0.742,0.371,0.742,
85,92,0.0,0.352,0.176,0.352,
64,79,,,,,no_o1_crossover
93,96,0.0,0.367,0.1835,0.367,
23,39,,,,,no_o1_crossover
93,72,0.0,0.506,0.253,0.506,
65,58,,,,,no_o1_crossover
58,16,,,,,no_o2_crossover_in_bounds
76,51,,,,,no_o2_crossover_in_bounds
36,89,,,,,no_o1_crossover
64,11,,,,,no_o1_crossover
64,83,,,,,no_o1_crossover
77,48,0.0,0.358,0.179,0.358,
83,8,,,,,no_o2_crossover_in_bounds
76,25,,,,,no_o2_crossover_in_bounds
65,53,,,,,no_o1_crossover
27,35,,,,,no_o1_crossover
46,83,,,,,no_o1_crossover
12,89,,,,,no_o1_crossover
52,7,0.0,0.313,0.1565,0.313,
85,11,,,,,no_o2_crossover_in_bounds
90,52,,,,,no_o1_crossover
38,80,0.0,0.472,0.236,0.472,
